hpRemaining: 30.8 (3.7947331922020546)
monstersKilled: 1.0 (0.0)
treasuresCollected: 1.0 (0.0)
potionsDrunk: 0.0 (0.0)
actionsTaken: 300.0 (0.0)
tilesExplored: 6.0 (0.0)
timesCompleted: 0
timesDied: 0
timesUncompleted: 10

hpRemaining;26.0;29.0;29.0;33.0;35.0;35.0;27.0;33.0;35.0;26.0;
monstersKilled;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
treasuresCollected;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
potionsDrunk;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
actionsTaken;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;
tilesExplored;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;

