hpRemaining: 21.7 (4.164666186436128)
monstersKilled: 3.0 (0.0)
treasuresCollected: 0.3 (0.4830458915396479)
potionsDrunk: 1.0 (0.0)
actionsTaken: 34.0 (0.0)
tilesExplored: 35.0 (0.0)
timesCompleted: 10
timesDied: 0
timesUncompleted: 0

hpRemaining;21.0;16.0;15.0;25.0;24.0;19.0;24.0;20.0;26.0;27.0;
monstersKilled;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;
treasuresCollected;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;
potionsDrunk;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
actionsTaken;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;
tilesExplored;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;

