hpRemaining: 27.4 (1.6465452046971294)
monstersKilled: 2.0 (0.0)
treasuresCollected: 0.0 (0.0)
potionsDrunk: 1.0 (0.0)
actionsTaken: 20.0 (0.0)
tilesExplored: 21.0 (0.0)
timesCompleted: 10
timesDied: 0
timesUncompleted: 0

hpRemaining;31.0;28.0;26.0;26.0;26.0;29.0;27.0;27.0;28.0;26.0;
monstersKilled;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;
treasuresCollected;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
potionsDrunk;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
actionsTaken;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;
tilesExplored;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0;

