hpRemaining: 29.6 (2.6749870196985173)
monstersKilled: 1.0 (0.0)
treasuresCollected: 0.0 (0.0)
potionsDrunk: 0.0 (0.0)
actionsTaken: 24.0 (0.0)
tilesExplored: 25.0 (0.0)
timesCompleted: 10
timesDied: 0
timesUncompleted: 0

hpRemaining;27.0;35.0;29.0;30.0;30.0;28.0;26.0;29.0;33.0;29.0;
monstersKilled;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
treasuresCollected;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
potionsDrunk;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
actionsTaken;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;
tilesExplored;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;

